name,smiles,score,MolWt,LogP,HBD,HBA,TPSA,RotB,AromaticRings,HeavyAtoms,rank
Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc12,53.459905576278096,256.257,2.8043000000000013,2,4,66.76,1,2,19,1
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,47.419343223311515,302.23800000000006,1.988,5,7,131.36,1,3,22,2
Ibuprofen,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O,46.22273540333089,206.28499999999997,3.073200000000001,1,1,37.3,4,1,15,3
Aspirin,CC(=O)Oc1ccccc1C(=O)O,44.85262128358446,180.15899999999996,1.3101,1,3,63.60000000000001,2,1,13,4
Sulfanilamide,NS(=O)(=O)c1ccc(N)cc1,40.90185075662135,172.20899999999997,-0.08380000000000004,2,3,86.18,1,1,11,5
Caffeine,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,39.677906256798224,194.19399999999996,-1.0293,0,3,61.82,0,2,14,6
Acetazolamide,CC1=NN(C(=O)N1)S(=O)(=O)N,36.012047054713534,178.17299999999997,-2.068579999999999,2,4,110.83999999999999,1,1,11,7
Methazolamide,CC1=NN(C(=O)N1)S(=O)(=O)N,36.012047054713534,178.17299999999997,-2.068579999999999,2,4,110.83999999999999,1,1,11,8
